mode,checker_prob,iteration,slot,count,total_us,avg_us
optimistic,0,5,batch_latency,18,361575,20087
optimistic,0,5,fsync_hook,21,500,23
optimistic,0,5,close_hook,6,129260,21543
optimistic,0,5,exit_hook,1,15556,15556
optimistic,0,6,compute_tag,18,23894,1327
optimistic,0,6,vault_save,18,125577,6976
optimistic,0,6,mc_increment,18,114418,6356
optimistic,0,6,commit_now,18,264961,14720
optimistic,0,6,batch_latency,18,358241,19902
optimistic,0,6,fsync_hook,21,606,28
optimistic,0,6,close_hook,6,127754,21292
optimistic,0,6,exit_hook,1,12969,12969
optimistic,0,7,compute_tag,18,34648,1924
optimistic,0,7,vault_save,18,99770,5542
optimistic,0,7,mc_increment,18,110189,6121
optimistic,0,7,commit_now,18,245570,13642
optimistic,0,7,batch_latency,18,323553,17975
optimistic,0,7,fsync_hook,21,591,28
optimistic,0,7,close_hook,6,114931,19155
optimistic,0,7,exit_hook,1,10773,10773
optimistic,0,8,compute_tag,17,21101,1241
optimistic,0,8,vault_save,17,102887,6052
optimistic,0,8,mc_increment,17,97440,5731
optimistic,0,8,commit_now,17,222401,13082
optimistic,0,8,batch_latency,17,278516,16383
optimistic,0,8,fsync_hook,21,646,30
optimistic,0,8,close_hook,6,84280,14046
optimistic,0,8,exit_hook,1,13818,13818
optimistic,0,9,compute_tag,18,22379,1243
optimistic,0,9,vault_save,18,101388,5632
optimistic,0,9,mc_increment,18,124039,6891
optimistic,0,9,commit_now,18,248664,13814
optimistic,0,9,batch_latency,18,335443,18635
optimistic,0,9,fsync_hook,21,594,28
optimistic,0,9,close_hook,6,109655,18275
optimistic,0,9,exit_hook,1,15715,15715
checker,0,0,compute_tag,18,23085,1282
checker,0,0,vault_save,18,89376,4965
checker,0,0,mc_increment,18,101479,5637
checker,0,0,commit_now,18,214621,11923
checker,0,0,batch_latency,18,283574,15754
checker,0,0,fsync_hook,21,359,17
checker,0,0,close_hook,6,96465,16077
checker,0,0,exit_hook,1,10736,10736
checker,0,1,compute_tag,18,26521,1473
checker,0,1,vault_save,18,119279,6626
checker,0,1,mc_increment,18,127797,7099
checker,0,1,commit_now,18,274810,15267
checker,0,1,batch_latency,18,367810,20433
checker,0,1,fsync_hook,21,848,40
checker,0,1,close_hook,6,128039,21339
checker,0,1,exit_hook,1,14971,14971
checker,0,2,compute_tag,17,21784,1281
checker,0,2,vault_save,17,91861,5403
checker,0,2,mc_increment,17,101540,5972
checker,0,2,commit_now,17,216055,12709
checker,0,2,batch_latency,17,277250,16308
checker,0,2,fsync_hook,21,490,23
checker,0,2,close_hook,6,92240,15373
checker,0,2,exit_hook,1,11413,11413
checker,0,3,compute_tag,18,22222,1234
checker,0,3,vault_save,18,102522,5695
checker,0,3,mc_increment,18,109853,6102
checker,0,3,commit_now,18,235556,13086
checker,0,3,batch_latency,18,317363,17631
checker,0,3,fsync_hook,21,547,26
checker,0,3,close_hook,6,117484,19580
checker,0,3,exit_hook,1,13648,13648
checker,0,4,compute_tag,18,17201,955
checker,0,4,vault_save,18,99425,5523
checker,0,4,mc_increment,18,122126,6784
checker,0,4,commit_now,18,239465,13303
checker,0,4,batch_latency,18,313203,17400
checker,0,4,fsync_hook,21,349,16
checker,0,4,close_hook,6,103300,17216
checker,0,4,exit_hook,1,13791,13791
checker,0,5,compute_tag,17,22905,1347
checker,0,5,vault_save,17,105850,6226
checker,0,5,mc_increment,17,109651,6450
checker,0,5,commit_now,17,239159,14068
checker,0,5,batch_latency,17,311636,18331
checker,0,5,fsync_hook,21,604,28
checker,0,5,close_hook,6,113053,18842
checker,0,5,exit_hook,1,13066,13066
checker,0,6,compute_tag,18,21308,1183
checker,0,6,vault_save,18,100331,5573
checker,0,6,mc_increment,18,119482,6637
checker,0,6,commit_now,18,242102,13450
checker,0,6,batch_latency,18,334761,18597
checker,0,6,fsync_hook,21,608,28
checker,0,6,close_hook,6,120471,20078
checker,0,6,exit_hook,1,10781,10781
checker,0,7,compute_tag,16,16607,1037
checker,0,7,vault_save,16,101840,6365
checker,0,7,mc_increment,16,118082,7380
checker,0,7,commit_now,16,237524,14845
checker,0,7,batch_latency,16,290483,18155
checker,0,7,fsync_hook,21,838,39
checker,0,7,close_hook,6,101463,16910
checker,0,7,exit_hook,1,15704,15704
checker,0,8,compute_tag,18,22807,1267
checker,0,8,vault_save,18,104074,5781
checker,0,8,mc_increment,18,100785,5599
checker,0,8,commit_now,18,228714,12706
checker,0,8,batch_latency,18,300041,16668
checker,0,8,fsync_hook,21,524,24
checker,0,8,close_hook,6,106490,17748
checker,0,8,exit_hook,1,10469,10469
checker,0,9,compute_tag,17,15386,905
checker,0,9,vault_save,17,87862,5168
checker,0,9,mc_increment,17,112839,6637
checker,0,9,commit_now,17,216818,12754
checker,0,9,batch_latency,17,272462,16027
checker,0,9,fsync_hook,21,385,18
checker,0,9,close_hook,6,101466,16911
checker,0,9,exit_hook,1,11580,11580
checker,10,0,compute_tag,17,14173,833
checker,10,0,vault_save,17,96098,5652
checker,10,0,mc_increment,17,109620,6448
checker,10,0,commit_now,17,220808,12988
checker,10,0,batch_latency,17,280695,16511
checker,10,0,fsync_hook,21,43304,2062
checker,10,0,close_hook,6,94371,15728
checker,10,0,exit_hook,1,14710,14710
checker,10,1,compute_tag,18,20063,1114
checker,10,1,vault_save,18,92094,5116
checker,10,1,mc_increment,18,97324,5406
checker,10,1,commit_now,18,210357,11686
checker,10,1,batch_latency,18,280084,15560
checker,10,1,fsync_hook,21,70586,3361
checker,10,1,close_hook,6,96467,16077
checker,10,1,exit_hook,1,11038,11038
checker,10,2,compute_tag,19,19730,1038
checker,10,2,vault_save,19,119449,6286
checker,10,2,mc_increment,19,123824,6517
checker,10,2,commit_now,19,263821,13885
checker,10,2,batch_latency,19,343512,18079
checker,10,2,fsync_hook,21,78624,3744
checker,10,2,close_hook,6,99073,16512
checker,10,2,exit_hook,1,13976,13976
checker,10,3,compute_tag,19,17017,895
checker,10,3,vault_save,19,118584,6241
checker,10,3,mc_increment,19,119129,6269
checker,10,3,commit_now,19,255477,13446
checker,10,3,batch_latency,19,328044,17265
checker,10,3,fsync_hook,21,72276,3441
checker,10,3,close_hook,6,98944,16490
checker,10,3,exit_hook,1,10408,10408
checker,10,4,compute_tag,17,16904,994
checker,10,4,vault_save,17,103671,6098
checker,10,4,mc_increment,17,107639,6331
checker,10,4,commit_now,17,228935,13466
checker,10,4,batch_latency,17,284869,16757
checker,10,4,fsync_hook,21,17481,832
checker,10,4,close_hook,6,86939,14489
checker,10,4,exit_hook,1,14727,14727
checker,10,5,compute_tag,20,20898,1044
checker,10,5,vault_save,20,134724,6736
checker,10,5,mc_increment,20,142456,7122
checker,10,5,commit_now,20,298857,14942
checker,10,5,batch_latency,20,357218,17860
checker,10,5,fsync_hook,21,70090,3337
checker,10,5,close_hook,6,113845,18974
checker,10,5,exit_hook,1,13477,13477
checker,10,6,compute_tag,16,24601,1537
checker,10,6,vault_save,16,98706,6169
checker,10,6,mc_increment,16,129079,8067
checker,10,6,commit_now,16,252972,15810
checker,10,6,batch_latency,16,331009,20688
checker,10,6,fsync_hook,21,349,16
checker,10,6,close_hook,6,92283,15380
checker,10,6,exit_hook,1,13254,13254
checker,10,7,compute_tag,19,22128,1164
checker,10,7,vault_save,19,108579,5714
