mode,buffer_size,iteration,slot,count,total_us,avg_us
optimistic,8192,1,exit_hook,1,10450,10450
optimistic,8192,2,compute_tag,1021,5068322,4964
optimistic,8192,2,vault_save,1021,4752891,4655
optimistic,8192,2,mc_increment,1021,8346272,8174
optimistic,8192,2,commit_now,1021,18199265,17824
optimistic,8192,2,batch_latency,1021,31330486,30686
optimistic,8192,2,fsync_hook,2050,18967,9
optimistic,8192,2,close_hook,1,17790,17790
optimistic,8192,2,exit_hook,1,11721,11721
optimistic,16384,0,compute_tag,512,2757742,5386
optimistic,16384,0,vault_save,512,2368064,4625
optimistic,16384,0,mc_increment,512,4298331,8395
optimistic,16384,0,commit_now,512,9440018,18437
optimistic,16384,0,batch_latency,512,16113457,31471
optimistic,16384,0,fsync_hook,1026,9680,9
optimistic,16384,0,close_hook,1,19467,19467
optimistic,16384,0,exit_hook,1,10460,10460
optimistic,16384,1,compute_tag,513,2681042,5226
optimistic,16384,1,vault_save,513,2280358,4445
optimistic,16384,1,mc_increment,513,4049617,7893
optimistic,16384,1,commit_now,513,9026899,17596
optimistic,16384,1,batch_latency,513,15369440,29959
optimistic,16384,1,fsync_hook,1026,9551,9
optimistic,16384,1,close_hook,1,17656,17656
optimistic,16384,1,exit_hook,1,9666,9666
optimistic,16384,2,compute_tag,512,2867587,5600
optimistic,16384,2,vault_save,512,2386756,4661
optimistic,16384,2,mc_increment,512,4226245,8254
optimistic,16384,2,commit_now,512,9496504,18547
optimistic,16384,2,batch_latency,512,16124904,31493
optimistic,16384,2,fsync_hook,1026,9485,9
optimistic,16384,2,close_hook,1,25352,25352
optimistic,16384,2,exit_hook,1,11494,11494
optimistic,32768,0,compute_tag,258,1365939,5294
optimistic,32768,0,vault_save,258,1131320,4384
optimistic,32768,0,mc_increment,258,2317041,8980
optimistic,32768,0,commit_now,258,4822348,18691
optimistic,32768,0,batch_latency,258,8250887,31980
optimistic,32768,0,fsync_hook,514,4782,9
optimistic,32768,0,close_hook,1,11735,11735
optimistic,32768,0,exit_hook,1,10843,10843
optimistic,32768,1,compute_tag,258,1419062,5500
optimistic,32768,1,vault_save,258,1172600,4544
optimistic,32768,1,mc_increment,258,2250283,8722
optimistic,32768,1,commit_now,258,4850050,18798
optimistic,32768,1,batch_latency,258,8267379,32044
optimistic,32768,1,fsync_hook,514,4733,9
optimistic,32768,1,close_hook,1,18894,18894
optimistic,32768,1,exit_hook,1,11957,11957
optimistic,32768,2,compute_tag,258,1534353,5947
optimistic,32768,2,vault_save,258,1227728,4758
optimistic,32768,2,mc_increment,258,2335857,9053
optimistic,32768,2,commit_now,258,5106031,19790
optimistic,32768,2,batch_latency,258,8646151,33512
optimistic,32768,2,fsync_hook,514,4757,9
optimistic,32768,2,close_hook,1,12732,12732
optimistic,32768,2,exit_hook,1,20229,20229
synchronous,512,0,compute_tag,32770,322335,9
synchronous,512,0,vault_save,32770,179423190,5475
synchronous,512,0,mc_increment,32770,127465879,3889
synchronous,512,0,commit_now,32770,308204148,9405
synchronous,512,0,batch_latency,0,0,0
synchronous,512,0,fsync_hook,32768,308573255,9416
synchronous,512,0,close_hook,1,8065,8065
synchronous,512,0,exit_hook,1,9699,9699
synchronous,512,1,compute_tag,32770,326574,9
synchronous,512,1,vault_save,32770,182363260,5564
synchronous,512,1,mc_increment,32770,130615550,3985
synchronous,512,1,commit_now,32770,314303691,9591
synchronous,512,1,batch_latency,0,0,0
synchronous,512,1,fsync_hook,32768,314672266,9603
synchronous,512,1,close_hook,1,9159,9159
synchronous,512,1,exit_hook,1,10110,10110
synchronous,512,2,compute_tag,32770,331884,10
synchronous,512,2,vault_save,32770,182588618,5571
synchronous,512,2,mc_increment,32770,130286749,3975
synchronous,512,2,commit_now,32770,314204317,9588
synchronous,512,2,batch_latency,0,0,0
synchronous,512,2,fsync_hook,32768,314573012,9600
synchronous,512,2,close_hook,1,8408,8408
synchronous,512,2,exit_hook,1,9758,9758
synchronous,1024,0,compute_tag,16386,164335,10
synchronous,1024,0,vault_save,16386,95530739,5830
synchronous,1024,0,mc_increment,16386,68134085,4158
synchronous,1024,0,commit_now,16386,164328345,10028
synchronous,1024,0,batch_latency,0,0,0
synchronous,1024,0,fsync_hook,16384,164496663,10040
synchronous,1024,0,close_hook,1,11908,11908
synchronous,1024,0,exit_hook,1,15311,15311
synchronous,1024,1,compute_tag,16386,163630,9
synchronous,1024,1,vault_save,16386,94894462,5791
synchronous,1024,1,mc_increment,16386,67066654,4092
synchronous,1024,1,commit_now,16386,162624053,9924
synchronous,1024,1,batch_latency,0,0,0
synchronous,1024,1,fsync_hook,16384,162801091,9936
synchronous,1024,1,close_hook,1,7959,7959
synchronous,1024,1,exit_hook,1,10160,10160
synchronous,1024,2,compute_tag,16386,162678,9
synchronous,1024,2,vault_save,16386,89755273,5477
synchronous,1024,2,mc_increment,16386,64066909,3909
synchronous,1024,2,commit_now,16386,154482875,9427
synchronous,1024,2,batch_latency,0,0,0
synchronous,1024,2,fsync_hook,16384,154653132,9439
