mode,checker_prob,gate_policy,iteration,slot,count,total_us,avg_us
optimistic,0,none,2,compute_tag,473,2621366,5542
optimistic,0,none,2,vault_save,473,10167278,21495
optimistic,0,none,2,mc_increment,473,10255619,21682
optimistic,0,none,2,commit_now,473,23067902,48769
optimistic,0,none,2,batch_latency,473,38119642,80591
optimistic,0,none,2,fsync_hook,1003,15792,15
optimistic,0,none,2,close_hook,1,9781,9781
optimistic,0,none,2,exit_hook,1,41197,41197
optimistic,0,none,2,gate_hook,2006,21215,10
optimistic,0,none,3,compute_tag,475,2581986,5435
optimistic,0,none,3,vault_save,475,10013270,21080
optimistic,0,none,3,mc_increment,475,10769731,22673
optimistic,0,none,3,commit_now,475,23390064,49242
optimistic,0,none,3,batch_latency,475,39490648,83138
optimistic,0,none,3,fsync_hook,1003,16469,16
optimistic,0,none,3,close_hook,1,8378,8378
optimistic,0,none,3,exit_hook,1,30505,30505
optimistic,0,none,3,gate_hook,2006,21674,10
optimistic,0,none,4,compute_tag,469,1832538,3907
optimistic,0,none,4,vault_save,469,8356048,17816
optimistic,0,none,4,mc_increment,469,9142083,19492
optimistic,0,none,4,commit_now,469,19354199,41266
optimistic,0,none,4,batch_latency,469,32297385,68864
optimistic,0,none,4,fsync_hook,1003,15135,15
optimistic,0,none,4,close_hook,1,12486,12486
optimistic,0,none,4,exit_hook,1,38889,38889
optimistic,0,none,4,gate_hook,2006,19678,9
optimistic,0,none,5,compute_tag,477,2258894,4735
optimistic,0,none,5,vault_save,477,10259220,21507
optimistic,0,none,5,mc_increment,477,10805202,22652
optimistic,0,none,5,commit_now,477,23346928,48945
optimistic,0,none,5,batch_latency,477,39008112,81778
optimistic,0,none,5,fsync_hook,1003,15191,15
optimistic,0,none,5,close_hook,1,7698,7698
optimistic,0,none,5,exit_hook,1,41969,41969
optimistic,0,none,5,gate_hook,2006,19393,9
optimistic,0,none,6,compute_tag,474,2886000,6088
optimistic,0,none,6,vault_save,474,8868679,18710
optimistic,0,none,6,mc_increment,474,10982484,23169
optimistic,0,none,6,commit_now,474,22759202,48015
optimistic,0,none,6,batch_latency,474,38403510,81020
optimistic,0,none,6,fsync_hook,1003,14565,14
optimistic,0,none,6,close_hook,1,9382,9382
optimistic,0,none,6,exit_hook,1,11916,11916
optimistic,0,none,6,gate_hook,2006,19018,9
optimistic,0,none,7,compute_tag,468,2642294,5645
optimistic,0,none,7,vault_save,468,10219437,21836
optimistic,0,none,7,mc_increment,468,10122408,21629
optimistic,0,none,7,commit_now,468,23006273,49158
optimistic,0,none,7,batch_latency,468,38256914,81745
optimistic,0,none,7,fsync_hook,1003,13968,13
optimistic,0,none,7,close_hook,1,15008,15008
optimistic,0,none,7,exit_hook,1,13058,13058
optimistic,0,none,7,gate_hook,2006,18617,9
optimistic,0,none,8,compute_tag,480,2667231,5556
optimistic,0,none,8,vault_save,480,9563022,19922
optimistic,0,none,8,mc_increment,480,11184008,23300
optimistic,0,none,8,commit_now,480,23436790,48826
optimistic,0,none,8,batch_latency,480,39119691,81499
optimistic,0,none,8,fsync_hook,1003,14585,14
optimistic,0,none,8,close_hook,1,8380,8380
optimistic,0,none,8,exit_hook,1,48484,48484
optimistic,0,none,8,gate_hook,2006,19233,9
optimistic,0,none,9,compute_tag,477,2560510,5367
optimistic,0,none,9,vault_save,477,10408227,21820
optimistic,0,none,9,mc_increment,477,10442321,21891
optimistic,0,none,9,commit_now,477,23432963,49125
optimistic,0,none,9,batch_latency,477,39009092,81780
optimistic,0,none,9,fsync_hook,1003,14062,14
optimistic,0,none,9,close_hook,1,7348,7348
optimistic,0,none,9,exit_hook,1,20665,20665
optimistic,0,none,9,gate_hook,2006,18426,9
checker,0,none,0,compute_tag,467,2153680,4611
checker,0,none,0,vault_save,467,8635962,18492
checker,0,none,0,mc_increment,467,8207961,17575
checker,0,none,0,commit_now,467,19019297,40726
checker,0,none,0,batch_latency,467,31114209,66625
checker,0,none,0,fsync_hook,1003,14713,14
checker,0,none,0,close_hook,1,7738,7738
checker,0,none,0,exit_hook,1,29418,29418
checker,0,none,0,gate_hook,2006,19190,9
checker,0,none,1,compute_tag,479,2404132,5019
checker,0,none,1,vault_save,479,9823198,20507
checker,0,none,1,mc_increment,479,10334635,21575
checker,0,none,1,commit_now,479,22583486,47147
checker,0,none,1,batch_latency,479,37391617,78061
checker,0,none,1,fsync_hook,1003,14035,13
checker,0,none,1,close_hook,1,7678,7678
checker,0,none,1,exit_hook,1,64417,64417
checker,0,none,1,gate_hook,2006,18331,9
checker,0,none,2,compute_tag,478,2411328,5044
checker,0,none,2,vault_save,478,9949543,20814
checker,0,none,2,mc_increment,478,10679494,22342
checker,0,none,2,commit_now,478,23060705,48244
checker,0,none,2,batch_latency,478,38313183,80153
checker,0,none,2,fsync_hook,1003,12609,12
checker,0,none,2,close_hook,1,7430,7430
checker,0,none,2,exit_hook,1,26036,26036
checker,0,none,2,gate_hook,2006,16735,8
checker,0,none,3,compute_tag,475,2229548,4693
checker,0,none,3,vault_save,475,10745682,22622
checker,0,none,3,mc_increment,475,9941967,20930
checker,0,none,3,commit_now,475,22940255,48295
checker,0,none,3,batch_latency,475,37672110,79309
checker,0,none,3,fsync_hook,1003,14972,14
checker,0,none,3,close_hook,1,11548,11548
checker,0,none,3,exit_hook,1,47833,47833
checker,0,none,3,gate_hook,2006,19322,9
checker,0,none,4,compute_tag,469,2114898,4509
checker,0,none,4,vault_save,469,8874222,18921
checker,0,none,4,mc_increment,469,8588923,18313
checker,0,none,4,commit_now,469,19599476,41789
checker,0,none,4,batch_latency,469,32481796,69257
checker,0,none,4,fsync_hook,1003,13451,13
checker,0,none,4,close_hook,1,7623,7623
checker,0,none,4,exit_hook,1,47945,47945
checker,0,none,4,gate_hook,2006,18035,8
checker,0,none,5,compute_tag,473,2346737,4961
checker,0,none,5,vault_save,473,9993038,21126
checker,0,none,5,mc_increment,473,11102406,23472
checker,0,none,5,commit_now,473,23463452,49605
checker,0,none,5,batch_latency,473,39323208,83135
checker,0,none,5,fsync_hook,1003,13288,13
checker,0,none,5,close_hook,1,9755,9755
checker,0,none,5,exit_hook,1,21549,21549
checker,0,none,5,gate_hook,2006,17401,8
checker,0,none,6,compute_tag,461,2283946,4954
checker,0,none,6,vault_save,461,10561843,22910
checker,0,none,6,mc_increment,461,9722325,21089
checker,0,none,6,commit_now,461,22588576,48999
checker,0,none,6,batch_latency,461,38026903,82487
checker,0,none,6,fsync_hook,1003,12955,12
checker,0,none,6,close_hook,1,19648,19648
checker,0,none,6,exit_hook,1,51960,51960
checker,0,none,6,gate_hook,2006,16742,8
checker,0,none,7,compute_tag,463,2125713,4591
checker,0,none,7,vault_save,463,10487024,22650
checker,0,none,7,mc_increment,463,10054815,21716
checker,0,none,7,commit_now,463,22692410,49011
checker,0,none,7,batch_latency,463,37780507,81599
checker,0,none,7,fsync_hook,1003,16490,16
checker,0,none,7,close_hook,1,12841,12841
checker,0,none,7,exit_hook,1,39440,39440
checker,0,none,7,gate_hook,2006,21736,10
checker,0,none,8,compute_tag,473,1979009,4183
checker,0,none,8,vault_save,473,9251850,19559
checker,0,none,8,mc_increment,473,7725286,16332
checker,0,none,8,commit_now,473,18981966,40131
checker,0,none,8,batch_latency,473,30539534,64565
checker,0,none,8,fsync_hook,1003,16980,16
checker,0,none,8,close_hook,1,8182,8182
checker,0,none,8,exit_hook,1,34734,34734
checker,0,none,8,gate_hook,2006,22115,11
checker,0,none,9,compute_tag,475,2391466,5034
checker,0,none,9,vault_save,475,8470495,17832
checker,0,none,9,mc_increment,475,8317723,17510
checker,0,none,9,commit_now,475,19203088,40427
checker,0,none,9,batch_latency,475,30922215,65099
checker,0,none,9,fsync_hook,1003,14982,14
checker,0,none,9,close_hook,1,15330,15330
checker,0,none,9,exit_hook,1,48295,48295
checker,0,none,9,gate_hook,2006,20036,9
checker,10,none,0,compute_tag,571,1642767,2877
checker,10,none,0,vault_save,571,10215129,17889
checker,10,none,0,mc_increment,571,12118585,21223
checker,10,none,0,commit_now,571,24008838,42047
checker,10,none,0,batch_latency,571,38226159,66945
checker,10,none,0,fsync_hook,1003,3401628,3391
checker,10,none,0,close_hook,1,7623,7623
checker,10,none,0,exit_hook,1,42737,42737
checker,10,none,0,gate_hook,2006,20846,10
checker,10,none,1,compute_tag,591,2037082,3446
checker,10,none,1,vault_save,591,11219791,18984
checker,10,none,1,mc_increment,591,11192942,18938
checker,10,none,1,commit_now,591,24484113,41428
checker,10,none,1,batch_latency,591,37832956,64015
checker,10,none,1,fsync_hook,1003,4191587,4179
checker,10,none,1,close_hook,1,7203,7203
checker,10,none,1,exit_hook,1,23484,23484
checker,10,none,1,gate_hook,2006,20702,10
checker,10,none,2,compute_tag,577,2299634,3985
checker,10,none,2,vault_save,577,11488296,19910
checker,10,none,2,mc_increment,577,11052764,19155
checker,10,none,2,commit_now,577,24871796,43105
checker,10,none,2,batch_latency,577,38324362,66420
checker,10,none,2,fsync_hook,1003,3937374,3925
checker,10,none,2,close_hook,1,20341,20341
checker,10,none,2,exit_hook,1,40315,40315
checker,10,none,2,gate_hook,2006,19592,9
checker,10,none,3,compute_tag,573,2164247,3777
checker,10,none,3,vault_save,573,10873990,18977
checker,10,none,3,mc_increment,573,11429146,19946
checker,10,none,3,commit_now,573,24502450,42761
checker,10,none,3,batch_latency,573,38280847,66807
checker,10,none,3,fsync_hook,1003,3612272,3601
checker,10,none,3,close_hook,1,11908,11908
checker,10,none,3,exit_hook,1,24010,24010
checker,10,none,3,gate_hook,2006,21621,10
checker,10,none,4,compute_tag,548,2490246,4544
checker,10,none,4,vault_save,548,10612343,19365
checker,10,none,4,mc_increment,548,10628938,19395
checker,10,none,4,commit_now,548,23764387,43365
checker,10,none,4,batch_latency,548,37451320,68341
checker,10,none,4,fsync_hook,1003,2881093,2872
checker,10,none,4,close_hook,1,16396,16396
checker,10,none,4,exit_hook,1,46679,46679
checker,10,none,4,gate_hook,2006,21373,10
checker,10,none,5,compute_tag,582,1531142,2630
checker,10,none,5,vault_save,582,11721707,20140
checker,10,none,5,mc_increment,582,11091177,19057
checker,10,none,5,commit_now,582,24378240,41887
checker,10,none,5,batch_latency,582,37477239,64393
checker,10,none,5,fsync_hook,1003,4230710,4218
checker,10,none,5,close_hook,1,7956,7956
checker,10,none,5,exit_hook,1,54261,54261
checker,10,none,5,gate_hook,2006,20712,10
checker,10,none,6,compute_tag,578,1474155,2550
checker,10,none,6,vault_save,578,10285236,17794
checker,10,none,6,mc_increment,578,9067796,15688
checker,10,none,6,commit_now,578,20862217,36093
checker,10,none,6,batch_latency,578,31653076,54763
checker,10,none,6,fsync_hook,1003,3818378,3806
checker,10,none,6,close_hook,1,7478,7478
checker,10,none,6,exit_hook,1,26842,26842
checker,10,none,6,gate_hook,2006,21327,10
checker,10,none,7,compute_tag,579,1348546,2329
checker,10,none,7,vault_save,579,11383304,19660
checker,10,none,7,mc_increment,579,11428993,19739
checker,10,none,7,commit_now,579,24193435,41784
checker,10,none,7,batch_latency,579,37493708,64755
checker,10,none,7,fsync_hook,1003,3762816,3751
checker,10,none,7,close_hook,1,8678,8678
checker,10,none,7,exit_hook,1,21116,21116
checker,10,none,7,gate_hook,2006,20108,10
checker,10,none,8,compute_tag,589,1765785,2997
checker,10,none,8,vault_save,589,10621497,18033
checker,10,none,8,mc_increment,589,10609275,18012
checker,10,none,8,commit_now,589,23023971,39089
checker,10,none,8,batch_latency,589,35521354,60307
checker,10,none,8,fsync_hook,1003,3976368,3964
checker,10,none,8,close_hook,1,8768,8768
checker,10,none,8,exit_hook,1,59387,59387
checker,10,none,8,gate_hook,2006,15608,7
checker,10,none,9,compute_tag,566,2192390,3873
checker,10,none,9,vault_save,566,10833550,19140
checker,10,none,9,mc_increment,566,11117874,19642
checker,10,none,9,commit_now,566,24174551,42711
checker,10,none,9,batch_latency,566,38379478,67808
checker,10,none,9,fsync_hook,1003,3454999,3444
checker,10,none,9,close_hook,1,22509,22509
