mode,buffer_size,iteration,slot,count,total_us,avg_us
checker,512,0,commit_now,2931,58744553,20042
checker,512,0,batch_latency,2931,104088118,35512
checker,512,0,fsync_hook,8194,68691,8
checker,512,0,close_hook,1,24925,24925
checker,512,0,exit_hook,1,11582,11582
checker,1024,0,compute_tag,1487,6878208,4625
checker,1024,0,vault_save,1487,9915725,6668
checker,1024,0,mc_increment,1487,11284543,7588
checker,1024,0,commit_now,1487,28124966,18913
checker,1024,0,batch_latency,1487,49389636,33214
checker,1024,0,fsync_hook,4098,34311,8
checker,1024,0,close_hook,1,10364,10364
checker,1024,0,exit_hook,1,10388,10388
checker,2048,0,compute_tag,935,4561595,4878
checker,2048,0,vault_save,935,4599381,4919
checker,2048,0,mc_increment,935,7506612,8028
checker,2048,0,commit_now,935,16697013,17857
checker,2048,0,batch_latency,935,28827167,30831
checker,2048,0,fsync_hook,2050,18464,9
checker,2048,0,close_hook,1,11713,11713
checker,2048,0,exit_hook,1,14917,14917
checker,4096,0,compute_tag,489,2444537,4999
checker,4096,0,vault_save,489,2332410,4769
checker,4096,0,mc_increment,489,3912109,8000
checker,4096,0,commit_now,489,8704263,17800
checker,4096,0,batch_latency,489,14952927,30578
checker,4096,0,fsync_hook,1026,9416,9
checker,4096,0,close_hook,1,11591,11591
checker,4096,0,exit_hook,1,12001,12001
checker,8192,0,compute_tag,255,1314098,5153
checker,8192,0,vault_save,255,1220282,4785
checker,8192,0,mc_increment,255,2138195,8385
checker,8192,0,commit_now,255,4680559,18355
checker,8192,0,batch_latency,255,8033021,31502
checker,8192,0,fsync_hook,514,4711,9
checker,8192,0,close_hook,1,18134,18134
checker,8192,0,exit_hook,1,10890,10890
checker,16384,0,compute_tag,129,665369,5157
checker,16384,0,vault_save,129,604888,4689
checker,16384,0,mc_increment,129,1050830,8145
checker,16384,0,commit_now,129,2325079,18023
checker,16384,0,batch_latency,129,3968949,30767
checker,16384,0,fsync_hook,258,2405,9
checker,16384,0,close_hook,1,10680,10680
checker,16384,0,exit_hook,1,13716,13716
checker,32768,0,compute_tag,65,358023,5508
checker,32768,0,vault_save,65,295073,4539
checker,32768,0,mc_increment,65,530844,8166
checker,32768,0,commit_now,65,1185951,18245
checker,32768,0,batch_latency,65,1999766,30765
checker,32768,0,fsync_hook,130,1200,9
checker,32768,0,close_hook,1,11274,11274
checker,32768,0,exit_hook,1,11039,11039
