mode,checker_prob,buffer_size,iteration,elapsed_us,throughput_kbps
checker,30,1024,0,171537294,95.51
checker,30,4096,0,47512881,344.83
checker,30,16384,0,11995711,1365.82
checker,50,1024,0,201812096,81.18
checker,50,4096,0,51471878,318.31
checker,50,16384,0,13732079,1193.12
checker,70,1024,0,226142222,72.45
checker,70,4096,0,58005375,282.46
checker,70,16384,0,13416464,1221.19
