mode,checker_prob,gate_policy,iteration,slot,count,total_us,avg_us
optimistic,0,none,2,compute_tag,459,1144017,2492
optimistic,0,none,2,vault_save,459,3051249,6647
optimistic,0,none,2,mc_increment,459,3088061,6727
optimistic,0,none,2,commit_now,459,7313529,15933
optimistic,0,none,2,batch_latency,459,11833174,25780
optimistic,0,none,2,fsync_hook,1003,20390,20
optimistic,0,none,2,close_hook,1,7308,7308
optimistic,0,none,2,exit_hook,1,22752,22752
optimistic,0,none,2,gate_hook,2006,27072,13
optimistic,0,none,3,compute_tag,478,952097,1991
optimistic,0,none,3,vault_save,478,2945205,6161
optimistic,0,none,3,mc_increment,478,3138566,6566
optimistic,0,none,3,commit_now,478,7068361,14787
optimistic,0,none,3,batch_latency,478,11308942,23658
optimistic,0,none,3,fsync_hook,1003,21008,20
optimistic,0,none,3,close_hook,1,10658,10658
optimistic,0,none,3,exit_hook,1,24748,24748
optimistic,0,none,3,gate_hook,2006,26923,13
optimistic,0,none,4,compute_tag,484,836646,1728
optimistic,0,none,4,vault_save,484,2843862,5875
optimistic,0,none,4,mc_increment,484,2984826,6166
optimistic,0,none,4,commit_now,484,6697203,13837
optimistic,0,none,4,batch_latency,484,10572208,21843
optimistic,0,none,4,fsync_hook,1003,20627,20
optimistic,0,none,4,close_hook,1,8129,8129
optimistic,0,none,4,exit_hook,1,23781,23781
optimistic,0,none,4,gate_hook,2006,26760,13
optimistic,0,none,5,compute_tag,477,1008159,2113
optimistic,0,none,5,vault_save,477,2917149,6115
optimistic,0,none,5,mc_increment,477,2956867,6198
optimistic,0,none,5,commit_now,477,6914632,14496
optimistic,0,none,5,batch_latency,477,10937707,22930
optimistic,0,none,5,fsync_hook,1003,21041,20
optimistic,0,none,5,close_hook,1,7709,7709
optimistic,0,none,5,exit_hook,1,21152,21152
optimistic,0,none,5,gate_hook,2006,27748,13
optimistic,0,none,6,compute_tag,471,1096388,2327
optimistic,0,none,6,vault_save,471,2751166,5841
optimistic,0,none,6,mc_increment,471,3006132,6382
optimistic,0,none,6,commit_now,471,6885084,14618
optimistic,0,none,6,batch_latency,471,11099381,23565
optimistic,0,none,6,fsync_hook,1003,21295,21
optimistic,0,none,6,close_hook,1,12095,12095
optimistic,0,none,6,exit_hook,1,26333,26333
optimistic,0,none,6,gate_hook,2006,28361,14
optimistic,0,none,7,compute_tag,469,1046436,2231
optimistic,0,none,7,vault_save,469,3067432,6540
optimistic,0,none,7,mc_increment,469,3073279,6552
optimistic,0,none,7,commit_now,469,7218861,15392
optimistic,0,none,7,batch_latency,469,11524781,24573
optimistic,0,none,7,fsync_hook,1003,21062,20
optimistic,0,none,7,close_hook,1,10183,10183
optimistic,0,none,7,exit_hook,1,22352,22352
optimistic,0,none,7,gate_hook,2006,27673,13
optimistic,0,none,8,compute_tag,466,994148,2133
optimistic,0,none,8,vault_save,466,2842041,6098
optimistic,0,none,8,mc_increment,466,2829166,6071
optimistic,0,none,8,commit_now,466,6694227,14365
optimistic,0,none,8,batch_latency,466,10809558,23196
optimistic,0,none,8,fsync_hook,1003,20346,20
optimistic,0,none,8,close_hook,1,8726,8726
optimistic,0,none,8,exit_hook,1,11252,11252
optimistic,0,none,8,gate_hook,2006,26721,13
optimistic,0,none,9,compute_tag,473,1120055,2367
optimistic,0,none,9,vault_save,473,3102889,6560
optimistic,0,none,9,mc_increment,473,3099765,6553
optimistic,0,none,9,commit_now,473,7354379,15548
optimistic,0,none,9,batch_latency,473,11658860,24648
optimistic,0,none,9,fsync_hook,1003,21323,21
optimistic,0,none,9,close_hook,1,7900,7900
optimistic,0,none,9,exit_hook,1,26533,26533
optimistic,0,none,9,gate_hook,2006,28501,14
checker,0,none,0,compute_tag,465,972282,2090
checker,0,none,0,vault_save,465,2791384,6002
checker,0,none,0,mc_increment,465,2828716,6083
checker,0,none,0,commit_now,465,6622886,14242
checker,0,none,0,batch_latency,465,10674319,22955
checker,0,none,0,fsync_hook,1003,20775,20
checker,0,none,0,close_hook,1,8679,8679
checker,0,none,0,exit_hook,1,21560,21560
checker,0,none,0,gate_hook,2006,27805,13
checker,0,none,1,compute_tag,463,913802,1973
checker,0,none,1,vault_save,463,2683766,5796
checker,0,none,1,mc_increment,463,2657852,5740
checker,0,none,1,commit_now,463,6284119,13572
checker,0,none,1,batch_latency,463,10149250,21920
checker,0,none,1,fsync_hook,1003,19153,19
checker,0,none,1,close_hook,1,9078,9078
checker,0,none,1,exit_hook,1,23690,23690
checker,0,none,1,gate_hook,2006,25228,12
checker,0,none,2,compute_tag,473,1171087,2475
checker,0,none,2,vault_save,473,2982239,6304
checker,0,none,2,mc_increment,473,3108728,6572
checker,0,none,2,commit_now,473,7295111,15423
checker,0,none,2,batch_latency,473,11691438,24717
checker,0,none,2,fsync_hook,1003,21442,21
checker,0,none,2,close_hook,1,7718,7718
checker,0,none,2,exit_hook,1,21680,21680
checker,0,none,2,gate_hook,2006,28311,14
checker,0,none,3,compute_tag,461,1069363,2319
checker,0,none,3,vault_save,461,2827363,6133
checker,0,none,3,mc_increment,461,2729387,5920
checker,0,none,3,commit_now,461,6657710,14441
checker,0,none,3,batch_latency,461,10765255,23351
checker,0,none,3,fsync_hook,1003,21620,21
checker,0,none,3,close_hook,1,7526,7526
checker,0,none,3,exit_hook,1,20575,20575
checker,0,none,3,gate_hook,2006,27762,13
checker,0,none,4,compute_tag,464,1140261,2457
checker,0,none,4,vault_save,464,2961236,6381
checker,0,none,4,mc_increment,464,3030864,6532
