mode,checker_prob,iteration,slot,count,total_us,avg_us
optimistic,0,3,compute_tag,2006,2767225,1379
optimistic,0,3,vault_save,2006,10754332,5361
optimistic,0,3,mc_increment,2006,9647258,4809
optimistic,0,3,commit_now,2006,23346689,11638
optimistic,0,3,batch_latency,2006,32591759,16247
optimistic,0,3,fsync_hook,3008,93504,31
optimistic,0,3,close_hook,1003,20484476,20423
optimistic,0,3,exit_hook,1,11120,11120
optimistic,0,3,gate_hook,0,0,0
optimistic,0,4,compute_tag,2006,2766318,1379
optimistic,0,4,vault_save,2006,10734777,5351
optimistic,0,4,mc_increment,2006,9596857,4784
optimistic,0,4,commit_now,2006,23274085,11602
optimistic,0,4,batch_latency,2006,32537990,16220
optimistic,0,4,fsync_hook,3008,93227,30
optimistic,0,4,close_hook,1003,20435940,20374
optimistic,0,4,exit_hook,1,10608,10608
optimistic,0,4,gate_hook,0,0,0
optimistic,0,5,compute_tag,2006,2670159,1331
optimistic,0,5,vault_save,2006,10334377,5151
optimistic,0,5,mc_increment,2006,9191150,4581
optimistic,0,5,commit_now,2006,22377184,11155
optimistic,0,5,batch_latency,2006,31231207,15568
optimistic,0,5,fsync_hook,3008,93199,30
optimistic,0,5,close_hook,1003,19631128,19572
optimistic,0,5,exit_hook,1,10951,10951
optimistic,0,5,gate_hook,0,0,0
optimistic,0,6,compute_tag,2006,2793717,1392
optimistic,0,6,vault_save,2006,10968624,5467
optimistic,0,6,mc_increment,2006,9794889,4882
optimistic,0,6,commit_now,2006,23741168,11835
optimistic,0,6,batch_latency,2006,33186113,16543
optimistic,0,6,fsync_hook,3008,97037,32
optimistic,0,6,close_hook,1003,20845892,20783
optimistic,0,6,exit_hook,1,12189,12189
optimistic,0,6,gate_hook,0,0,0
optimistic,0,7,compute_tag,2006,2735074,1363
optimistic,0,7,vault_save,2006,10478579,5223
optimistic,0,7,mc_increment,2006,9383677,4677
optimistic,0,7,commit_now,2006,22773293,11352
optimistic,0,7,batch_latency,2006,31824041,15864
optimistic,0,7,fsync_hook,3008,93809,31
optimistic,0,7,close_hook,1003,19957510,19897
optimistic,0,7,exit_hook,1,10445,10445
